t,S,I,R
1,995.8036,4.0764,0.12
2,994.179882481984,5.537061518015999,0.283056
3,991.9779484142733,7.517513125006024,0.50453846072064
4,988.995065515505,10.199695498774123,0.805238985720881
5,984.9600861082856,13.826687086042483,1.2132268056718458
6,979.5125921471413,18.721113563745075,1.7662942891135451
7,972.1775655572593,25.30729561107725,2.5151388316633483
8,962.3362915420533,34.13627780184016,3.5274306561064384
9,949.1960599473044,45.91105828451542,4.892881768180045
10,931.7646216946353,61.506054205804034,6.729324099560662
11,908.840955563035,81.96947816917216,9.189566267792824
12,879.0420680165255,108.48958658891479,12.46834539455971
13,840.8953037951744,142.29676734670923,16.807928858116302
14,793.0326304323415,184.4675700156738,22.499799551984673
15,734.5171095207447,235.6043881266436,29.878502352611626
16,665.2949278578703,295.40239426445225,39.30267787767737
17,586.6830420253859,362.19818432635856,51.118773648255456
18,501.6848289867221,432.708469991968,65.6067010213098
19,414.8515190791114,502.23344109989995,82.91503982098853
20,331.51059669006224,565.4850258449532,103.00437746498453
21,256.52488535519996,617.8513361460173,125.62377849878266
22,193.12718808663428,656.5349799687423,150.33783194462336
23,142.4092862618831,680.9914825947437,176.59923114337306
24,103.61748186718748,692.5436276856497,203.8388904471628
25,74.91363115360586,693.5457332918053,231.5406355545888
26,54.1312194528141,686.5863156609248,259.282464886261
27,39.26491764227785,673.9891648450241,286.745917512698
28,28.67926602250685,657.6152498709941,313.70548410649894
29,21.13529694590383,638.8546089527574,340.0100941013387
30,15.734344199713508,618.7013773408374,365.56427845944904
31,11.840400028546481,597.847266418371,390.31233355308257
32,9.008899712399876,576.7648760777827,414.2262242098174
33,6.930492941912081,555.7726878051592,437.29681925292874
34,5.3897814658556165,535.0824917690093,459.5277267651351
35,4.2361903871194375,514.8327831769851,480.9310264358955
36,3.3638185122921214,495.11184372473303,501.5243377629749
37,2.697631958061585,475.97355652997425,521.3288115119642
38,2.1840313671465887,457.44821485969027,540.3677537731631
39,1.7843988671070785,439.54991876534217,558.6656823675507
40,1.4706659162743245,422.28165496556124,576.2476791181645
41,1.2222518214640183,405.6388028617491,593.1389453167869
42,1.0239347152023157,389.61156785354086,609.364497431257
43,0.8643599912944585,374.18667986330706,624.9489601453986
44,0.7349871931547983,359.3485854669144,639.9164273399309
45,0.6293405498762085,345.08028869151644,654.2903707586075
46,0.5424713424215846,331.3639463513104,668.0935823062682
47,0.4705691644986609,318.1812906751809,681.3481401603207
48,0.4106786428538107,305.5139295698185,694.0753917873279
49,0.36049142446634364,293.34355960541325,706.2959489701207
50,0.31819228940227035,281.65211635626076,718.0296913543372
51,0.28234447671491303,270.4218795146977,729.2957760085876
52,0.2518036270893768,259.63554518373536,740.1126511891755
53,0.2256527582899399,249.2762742451854,750.4980729965249
54,0.20315280674607367,239.32772322692185,760.4691239663323
55,0.183704767263795,229.77406233732725,770.0422328954091
56,0.16682053100582084,220.59998408009213,779.2331953889022
57,0.1521002884121742,211.7907049594821,788.0571947521059
58,0.13921491748923223,203.33196213202575,796.5288229504853
59,0.12789218055677876,195.21000638367718,804.6621014357663
60,0.11790584720361429,187.41159246168326,812.4705016911134
61,0.10906707816962498,179.92396753224992,819.9669653895808
62,0.10121756559705339,172.7348583435325,827.1639240908708
63,0.0942240448549397,165.8324575305333,834.073318424612
64,0.08797388288823496,159.20540939127866,840.7066167258333
65,0.08237151567185022,152.8427953828439,847.0748331014845
66,0.0773355585857673,146.7341195246162,853.1885449167983
67,0.07279645254695652,140.86929384967036,859.0579096977829
68,0.0686945386009362,135.23862400962958,864.6926814517697
69,0.0649784766499894,129.83279511119534,870.1022264121549
70,0.06160394175177514,124.64285784164574,875.2955382166027
71,0.058532545210074526,119.66021492452161,880.2812525302686
72,0.055730938434107806,114.87660793431671,885.0676611272495
73,0.05317006596838519,110.28410448940977,889.6627254446222
74,0.0508245407239987,105.87508583507777,894.0740896241986
75,0.048672119679326,101.64223482271933,898.3090930576017
76,0.046693262472219776,97.57852428701767,902.3747824505105
77,0.044870758613745544,93.67720581939544,906.2779234219912
78,0.04318941169777264,89.93179893353559,910.025011654767
79,0.04163577110222793,86.33608061678972,913.6222836121084
80,0.04019790338605827,82.88407525983429,917.07572683678
81,0.03886519696624323,79.57004495586074,920.3910898471734
82,0.037628194778314285,76.38848015981424,923.5738916454078
83,0.03647845053420513,73.33409069766577,926.6294308518004
84,0.035408404934210845,70.40179711535913,929.562794479707
85,0.03441127879806813,67.58672235688091,932.3788663643214
86,0.03348098057964003,64.8841837608241,935.0823352585967
87,0.032612026141071254,62.28968536482971,937.6777026090297
88,0.03179946900209648,59.798910507375496,940.1692900236228
89,0.031038839561681106,57.40771471652089,942.5612464439179
90,0.030326092023005565,55.112118875398735,944.8575550325787
91,0.0296575579475663,52.908302654458225,947.0620397875947
92,0.02902990552681351,50.79259820070065,949.178371893773
93,0.028440103795922416,48.76148407440352,951.2100758218011
94,0.027885391128594714,46.8115794240947,953.1605351847772
95,0.02736324744795945,44.93963839081155,955.0329983617411
96,0.026871369669755615,43.1425447329573,956.8305838973736
97,0.02640764996255031,41.41730666334621,958.5562856866918
98,0.025970156467847408,39.761051890307066,960.2129779532256
99,0.025557116172280417,38.17102285499035,961.8034200288379
100,0.025166899666072513,36.64457215729694,963.3302609430375
